Header	RF	SVM
>Sequence10001	0.4	0.283
>Sequence10002	0.45	0.543
>Sequence10003	0.3	0.31
>Sequence10004	0.35	0.675
>Sequence10005	0.45	0.721
>Sequence10006	0.45	0.288
>Sequence10007	0.45	0.76
>Sequence10008	0.45	0.034
>Sequence10009	0.4	0.741
>Sequence10010	0.5	0.771
>Sequence10011	0.6	0.236
>Sequence10012	0.45	0.357
>Sequence10013	0.5	0.623
>Sequence10014	0.45	0.736
>Sequence10015	0.45	0.222
>Sequence10016	0.4	0.766
>Sequence10017	0.45	0.268
>Sequence10018	0.45	0.785
>Sequence10019	0.4	0.64
>Sequence10020	0.45	0.438
>Sequence10021	0.5	0.174
>Sequence10022	0.6	0.75
>Sequence10023	0.55	0.381
>Sequence10024	0.4	0.701
>Sequence10025	0.45	0.239
>Sequence10026	0.45	0.803
>Sequence10027	0.4	0.669
>Sequence10028	0.5	0.493
>Sequence10029	0.45	0.585
>Sequence10030	0.4	0.071
>Sequence10031	0.3	0.251
>Sequence10032	0.4	0.379
>Sequence10033	0.45	0.21
>Sequence10034	0.45	0.796
>Sequence10035	0.35	0.643
>Sequence10036	0.4	0.256
>Sequence10037	0.45	0.662
>Sequence10038	0.35	0.752
>Sequence10039	0.45	0.762
>Sequence10040	0.45	0.716
>Sequence10041	0.4	0.284
>Sequence10042	0.5	0.343
>Sequence10043	0.55	0.808
>Sequence10044	0.5	0.797
>Sequence10045	0.5	0.776
>Sequence10046	0.5	0.82
>Sequence10047	0.45	0.356
>Sequence10048	0.4	0.78
>Sequence10049	0.55	0.847
>Sequence10050	0.4	0.844
>Sequence10051	0.5	0.704
>Sequence10052	0.35	0.256
>Sequence10053	0.35	0.664
>Sequence10054	0.4	0.119
>Sequence10055	0.45	0.753
>Sequence10056	0.55	0.243
>Sequence10057	0.6	0.278
>Sequence10058	0.55	0.469
>Sequence10059	0.4	0.217
>Sequence10060	0.5	0.327
>Sequence10061	0.45	0.698
>Sequence10062	0.45	0.712
>Sequence10063	0.5	0.624
>Sequence10064	0.25	0.658
>Sequence10065	0.5	0.18
>Sequence10066	0.35	0.087
>Sequence10067	0.45	0.752
>Sequence10068	0.4	0.053
>Sequence10069	0.45	0.356
>Sequence10070	0.5	0.26
>Sequence10071	0.4	0.622
>Sequence10072	0.45	0.145
>Sequence10073	0.45	0.822
>Sequence10074	0.5	0.269
>Sequence10075	0.45	0.492
>Sequence10076	0.45	0.356
>Sequence10077	0.45	0.769
>Sequence10078	0.45	0.487
>Sequence10079	0.4	0.205
>Sequence10080	0.5	0.809
>Sequence10081	0.4	0.428
>Sequence10082	0.45	0.703
>Sequence10083	0.35	0.586
>Sequence10084	0.45	0.162
>Sequence10085	0.6	0.464
>Sequence10086	0.45	0.569
>Sequence10087	0.5	0.616
>Sequence10088	0.5	0.333
>Sequence10089	0.45	0.392
>Sequence10090	0.3	0.222
>Sequence10091	0.4	0.125
>Sequence10092	0.5	0.672
>Sequence10093	0.45	0.166
>Sequence10094	0.5	0.719
>Sequence10095	0.55	0.167
>Sequence10096	0.4	0.703
>Sequence10097	0.45	0.674
>Sequence10098	0.4	0.722
>Sequence10099	0.45	0.673
>Sequence10100	0.5	0.144
