Header	RF	SVM
>Sequence1001	0.3	0.099
>Sequence1002	0.6	0.313
>Sequence1003	0.5	0.537
>Sequence1004	0.35	0.193
>Sequence1005	0.45	0.747
>Sequence1006	0.6	0.39
>Sequence1007	0.4	0.709
>Sequence1008	0.45	0.23
>Sequence1009	0.5	0.536
>Sequence1010	0.45	0.156
>Sequence1011	0.55	0.489
>Sequence1012	0.45	0.781
>Sequence1013	0.45	0.5
>Sequence1014	0.5	0.24
>Sequence1015	0.35	0.702
>Sequence1016	0.5	0.539
>Sequence1017	0.4	0.239
>Sequence1018	0.45	0.662
>Sequence1019	0.45	0.202
>Sequence1020	0.4	0.768
>Sequence1021	0.45	0.695
>Sequence1022	0.45	0.783
>Sequence1023	0.55	0.595
>Sequence1024	0.4	0.719
>Sequence1025	0.2	0.19
>Sequence1026	0.55	0.113
>Sequence1027	0.5	0.714
>Sequence1028	0.4	0.279
>Sequence1029	0.5	0.774
>Sequence1030	0.4	0.356
>Sequence1031	0.45	0.805
>Sequence1032	0.45	0.331
>Sequence1033	0.45	0.255
>Sequence1034	0.3	0.591
>Sequence1035	0.45	0.201
>Sequence1036	0.4	0.83
>Sequence1037	0.5	0.315
>Sequence1038	0.4	0.671
>Sequence1039	0.4	0.277
>Sequence1040	0.4	0.316
>Sequence1041	0.3	0.18
>Sequence1042	0.4	0.756
>Sequence1043	0.45	0.759
>Sequence1044	0.6	0.422
>Sequence1045	0.45	0.329
>Sequence1046	0.45	0.174
>Sequence1047	0.35	0.287
>Sequence1048	0.45	0.723
>Sequence1049	0.45	0.665
>Sequence1050	0.6	0.175
>Sequence1051	0.55	0.656
>Sequence1052	0.35	0.216
>Sequence1053	0.35	0.546
>Sequence1054	0.35	0.355
>Sequence1055	0.35	0.443
>Sequence1056	0.4	0.686
>Sequence1057	0.5	0.281
>Sequence1058	0.45	0.502
>Sequence1059	0.5	0.473
>Sequence1060	0.55	0.523
>Sequence1061	0.35	0.095
>Sequence1062	0.55	0.786
>Sequence1063	0.3	0.492
>Sequence1064	0.45	0.677
>Sequence1065	0.5	0.354
>Sequence1066	0.55	0.187
>Sequence1067	0.45	0.295
>Sequence1068	0.45	0.178
>Sequence1069	0.45	0.307
>Sequence1070	0.45	0.219
>Sequence1071	0.6	0.755
>Sequence1072	0.45	0.751
>Sequence1073	0.45	0.266
>Sequence1074	0.4	0.379
>Sequence1075	0.45	0.258
>Sequence1076	0.35	0.492
>Sequence1077	0.5	0.792
>Sequence1078	0.65	0.36
>Sequence1079	0.45	0.793
>Sequence1080	0.4	0.262
>Sequence1081	0.35	0.494
>Sequence1082	0.4	0.159
>Sequence1083	0.45	0.503
>Sequence1084	0.5	0.306
>Sequence1085	0.4	0.366
>Sequence1086	0.55	0.311
>Sequence1087	0.4	0.282
>Sequence1088	0.55	0.307
>Sequence1089	0.6	0.308
>Sequence1090	0.35	0.368
>Sequence1091	0.3	0.521
>Sequence1092	0.45	0.698
>Sequence1093	0.4	0.296
>Sequence1094	0.4	0.747
>Sequence1095	0.55	0.16
>Sequence1096	0.45	0.769
>Sequence1097	0.6	0.906
>Sequence1098	0.55	0.391
>Sequence1099	0.55	0.296
>Sequence1100	0.35	0.438
